uid,sid
46435,2
46435,3
46435,5
46435,6
46435,11
46435,12
46435,13
46435,14
46435,15
46435,16
46435,20
46435,21
46435,24
46435,25
46435,32
46435,38
46435,41
46435,43
46435,45
46435,48
46435,50
46435,59
46435,62
46435,65
46435,70
46435,71
46435,73
46435,74
46435,75
46435,76
46435,81
46435,82
46435,84
46435,85
46435,86
46435,87
46435,91
46435,95
46435,97
46435,99
46435,101
46435,104
46435,106
46435,111
46435,115
46435,121
46435,126
46435,128
46435,130
46435,133
46435,139
46435,143
46435,148
46435,151
46435,157
46435,159
46435,165
46435,167
46435,168
46435,171
46435,175
46435,184
46435,189
46435,190
46435,197
46435,207
46435,212
46435,213
46435,219
46435,223
46435,230
46435,231
46435,235
46435,243
46435,261
46435,272
46435,273
46435,276
46435,277
29134,25
29134,62
29134,65
29134,82
29134,171
29134,189
29134,230
29134,276
13663,2
13663,5
13663,12
13663,24
13663,25
13663,32
13663,38
13663,43
13663,45
13663,293
13663,62
13663,75
13663,76
13663,81
13663,82
13663,84
13663,86
13663,87
13663,95
13663,106
13663,115
13663,314
13663,126
13663,130
13663,139
13663,148
13663,151
13663,157
13663,159
13663,171
13663,197
13663,219
13663,230
13663,231
13663,272
13663,537
13663,277
13663,549
13663,590
13663,554
2427,14
2427,38
2427,41
2427,62
2427,71
2427,86
2427,303
2427,306
2427,111
2427,276
5543,25
5543,38
5543,41
5543,50
5543,65
5543,76
5543,306
5543,128
5543,165
5543,230
5543,235
44662,3
44662,5
44662,6
44662,12
44662,15
44662,16
44662,25
44662,38
44662,41
44662,43
44662,45
44662,48
44662,62
44662,70
44662,71
44662,74
44662,75
44662,76
44662,81
44662,82
44662,84
44662,86
44662,87
44662,303
44662,97
44662,306
44662,115
44662,121
44662,126
44662,128
44662,133
44662,139
44662,143
44662,148
44662,321
44662,159
44662,168
44662,189
44662,223
44662,230
44662,231
44662,502
44662,261
44662,273
44662,544
44662,276
44662,277
44662,554
25999,3
25999,12
25999,13
25999,14
25999,16
25999,25
25999,41
25999,43
25999,74
25999,75
25999,76
25999,82
25999,303
25999,306
25999,314
25999,130
25999,148
25999,151
25999,197
25999,219
25999,230
25999,243
25999,276
25999,277
31688,2
31688,5
31688,15
31688,25
31688,50
31688,71
31688,86
31688,91
31688,303
31688,306
31688,115
31688,126
31688,148
31688,325
31688,165
31688,230
31688,276
31688,277
25121,14
25121,16
25121,48
25121,84
25121,303
25121,97
25121,99
25121,106
25121,111
25121,121
25121,314
25121,133
25121,159
25121,190
25121,230
25121,422
25121,277
42283,14
42283,38
42283,45
42283,62
42283,65
42283,70
42283,71
42283,82
42283,84
42283,86
42283,101
42283,111
42283,314
42283,133
42283,148
42283,151
42283,325
42283,168
42283,341
42283,197
42283,207
42283,219
42283,230
34467,11
34467,97
34467,276
2718,3
2718,5
2718,6
2718,11
2718,281
2718,16
2718,25
2718,38
2718,45
2718,50
2718,59
2718,62
2718,70
2718,76
2718,82
2718,91
2718,97
2718,101
2718,306
2718,139
2718,168
2718,171
2718,212
2718,230
2718,277
2718,549
36180,25
36180,71
36180,91
36180,115
36180,133
36180,148
36180,159
36180,165
36180,261
36180,549
35886,5
35886,16
35886,59
35886,82
35886,151
35886,184
35886,207
35886,219
24956,14
24956,25
24956,106
24956,128
24956,230
24956,277
40223,2
40223,3
40223,5
40223,11
40223,12
40223,13
40223,281
40223,14
40223,15
40223,16
40223,25
40223,38
40223,41
40223,43
40223,45
40223,293
40223,62
40223,65
40223,70
40223,71
40223,74
40223,75
40223,76
40223,81
40223,82
40223,84
40223,91
40223,303
40223,97
40223,99
40223,104
40223,306
40223,115
40223,121
40223,314
40223,126
40223,130
40223,143
40223,148
40223,151
40223,159
40223,325
40223,165
40223,167
40223,168
40223,171
40223,175
40223,339
40223,184
40223,190
40223,197
40223,207
40223,212
40223,213
40223,387
40223,219
40223,223
40223,230
40223,243
40223,261
40223,272
40223,273
40223,537
40223,544
40223,276
40223,277
40223,549
40223,590
40223,554
8119,2
8119,6
8119,11
8119,12
8119,13
8119,281
8119,15
8119,16
8119,20
8119,24
8119,25
8119,32
8119,38
8119,41
8119,45
8119,48
8119,50
8119,59
8119,62
8119,70
8119,71
8119,74
8119,75
8119,76
8119,81
8119,84
8119,91
8119,303
8119,95
8119,99
8119,101
8119,104
8119,306
8119,111
8119,115
8119,314
8119,126
8119,139
8119,148
8119,151
8119,157
8119,159
8119,165
8119,167
8119,168
8119,171
8119,175
8119,184
8119,189
8119,197
8119,207
8119,387
8119,219
8119,223
8119,230
8119,231
8119,502
8119,261
8119,272
8119,273
8119,276
39349,50
39349,175
43525,25
43525,303
43525,97
43525,230
33303,14
33303,16
33303,32
33303,76
33303,303
33303,306
33303,111
33303,314
33303,143
33303,165
33303,168
33303,277
46183,5
46183,15
46183,16
46183,74
46183,76
46183,276
45966,6
45966,11
45966,45
45966,325
21929,281
21929,16
21929,273
30621,2
30621,3
30621,5
30621,6
30621,11
30621,281
30621,14
30621,15
30621,16
30621,24
30621,25
30621,32
30621,38
30621,41
30621,45
30621,50
30621,293
30621,59
30621,62
30621,65
30621,70
30621,74
30621,75
30621,76
30621,81
30621,82
30621,84
30621,85
30621,86
30621,91
30621,101
30621,104
30621,306
30621,111
30621,115
30621,128
30621,130
30621,133
30621,139
30621,148
30621,321
30621,159
30621,165
30621,333
30621,168
30621,171
30621,184
30621,189
30621,190
30621,207
30621,213
30621,223
30621,230
30621,422
30621,502
30621,261
30621,272
30621,273
30621,537
30621,544
30621,277
35786,3
35786,6
35786,16
35786,70
35786,85
35786,168
16909,5
16909,11
16909,38
16909,70
16909,168
6949,3
6949,16
6949,21
6949,25
6949,38
6949,62
6949,65
6949,71
6949,73
6949,74
6949,75
6949,76
6949,87
6949,99
6949,314
6949,148
6949,151
6949,325
6949,184
6949,341
6949,219
6949,223
6949,230
20657,5
20657,12
20657,15
20657,16
20657,41
20657,43
20657,65
20657,74
20657,82
20657,126
20657,219
20657,230
20657,235
27668,5
27668,6
27668,12
27668,281
27668,15
27668,16
27668,25
27668,38
27668,41
27668,50
27668,293
27668,62
27668,65
27668,70
27668,71
27668,73
27668,76
27668,82
27668,86
27668,87
27668,91
27668,303
27668,95
27668,97
27668,99
27668,306
27668,106
27668,111
27668,115
27668,314
27668,126
27668,128
27668,133
27668,139
27668,148
27668,321
27668,159
27668,167
27668,333
27668,168
27668,175
27668,341
27668,197
27668,207
27668,219
27668,223
27668,230
27668,231
27668,261
27668,544
27668,276
27668,277
27668,549
2271,2
2271,13
2271,16
2271,25
2271,45
2271,293
2271,71
2271,82
2271,306
2271,314
2271,139
2271,143
2271,148
2271,151
2271,159
2271,168
2271,175
2271,197
2271,207
2271,219
2271,231
2271,261
2271,537
16813,3
16813,5
16813,16
16813,38
16813,70
16813,86
16813,148
16813,165
16813,168
16813,273
47599,12
47599,70
47599,91
47599,171
47599,219
36933,14
36933,62
2497,3
2497,11
2497,20
2497,75
2497,126
2497,321
2497,190
2497,212
2497,230
2497,243
2497,276
2497,277
8038,3
8038,6
8038,11
8038,281
8038,16
8038,32
8038,38
8038,50
8038,59
8038,62
8038,70
8038,82
8038,85
8038,87
8038,303
8038,97
8038,99
8038,111
8038,139
8038,159
8038,168
8038,171
8038,230
8038,243
8038,273
8038,277
13174,3
13174,6
13174,14
13174,15
13174,16
13174,25
13174,38
13174,50
13174,59
13174,65
13174,74
13174,75
13174,76
13174,82
13174,86
13174,303
13174,97
13174,111
13174,314
13174,175
13174,230
13174,277
42650,16
42650,25
42650,45
42650,62
42650,84
42650,111
42650,148
42650,212
42650,223
42650,230
42650,277
46246,2
46246,3
46246,5
46246,6
46246,11
46246,12
46246,13
46246,281
46246,14
46246,15
46246,16
46246,20
46246,21
46246,24
46246,25
46246,32
46246,38
46246,41
46246,45
46246,48
46246,50
46246,293
46246,59
46246,62
46246,65
46246,70
46246,71
46246,73
46246,74
46246,75
46246,76
46246,81
46246,82
46246,84
46246,85
46246,86
46246,87
46246,91
46246,303
46246,95
46246,97
46246,99
46246,101
46246,104
46246,306
46246,106
46246,111
46246,115
46246,121
46246,314
46246,126
46246,128
46246,130
46246,133
46246,139
46246,143
46246,148
46246,151
46246,321
46246,157
46246,159
46246,325
46246,165
46246,167
46246,168
46246,171
46246,175
46246,184
46246,341
46246,189
46246,190
46246,197
46246,207
46246,212
46246,213
46246,219
46246,223
46246,230
46246,231
46246,235
46246,422
46246,243
46246,261
46246,272
46246,273
46246,537
46246,546
46246,276
46246,277
46246,549
10550,3
10550,5
10550,6
10550,281
10550,14
10550,16
10550,38
10550,59
10550,62
10550,65
10550,70
10550,71
10550,75
10550,86
10550,91
10550,303
10550,97
10550,104
10550,106
10550,111
10550,115
10550,314
10550,157
10550,165
10550,184
10550,190
10550,273
10550,276
10550,277
35590,5
35590,6
35590,11
35590,13
35590,14
35590,15
35590,16
35590,20
35590,38
35590,41
35590,50
35590,62
35590,74
35590,82
35590,91
35590,106
35590,128
35590,157
35590,168
35590,207
35590,230
35590,235
35590,276
25443,6
25443,16
25443,48
25443,62
25443,84
25443,87
25443,314
25443,133
25443,148
25443,189
25443,276
28843,5
28843,11
28843,62
28843,70
28843,75
28843,76
28843,126
28843,165
28843,168
28843,219
28843,261
28843,277
28843,549
28843,554
19104,65
19104,75
33076,5
33076,281
33076,14
33076,16
33076,38
33076,43
33076,45
33076,59
33076,75
33076,91
33076,306
33076,159
33076,165
33076,168
33076,175
33076,341
33076,189
33076,190
33076,422
33076,273
33076,276
1416,2
1416,3
1416,5
1416,6
1416,13
1416,15
1416,16
1416,20
1416,21
1416,24
1416,25
1416,38
1416,41
1416,59
1416,62
1416,70
1416,71
1416,82
1416,85
1416,91
1416,95
